objectid,city_name,city_altnm,lat,lng
19235,San Vicente De Cañete,"",-13.077735464,-76.387408483
19236,Huaral,"",-11.496167907,-77.207030385
19237,Viacha,"",-16.653482766,-68.302185978
19238,La Rinconada,"",-14.628811155,-69.445581459
19239,Abancay,Abancay,-13.637344007,-72.878872886
19240,Puerto Maldonado,Puerto Maldonado,-12.593861588,-69.186675095
19241,Guadalupe,"",-7.24363707700002,-79.470596947
19242,Jaen,"",-5.70874331499999,-78.807781357
19243,Azogues,"",-2.738841853,-78.84811918
19244,Babahoyo,Babahoyo,-1.80090197099997,-79.53381717
19245,Guaranda,"",-1.59239538600002,-79.001415507
19246,Cerro De Pasco,Cerro De Pasco,-10.666781048,-76.254915565
19247,Oxapampa,"",-10.578023438,-75.403096304
19248,Atalaya,"",-10.729902271,-73.75487954
19249,Pampas,"",-8.19509490000002,-77.895725361
19250,Chachapoyas,Chachapoyas,-6.22928753000002,-77.872140965
19251,Moyobamba,Moyobamba,-6.03472638400001,-76.974673905
19252,Macas,"",-2.30462526000002,-78.117542887
19253,Puyo,"",-1.48230337000001,-78.001078899
19254,Latacunga,"",-0.933611778999989,-78.614880704
19255,Tena,"",-0.991616523999994,-77.81633671
19256,Puerto Francisco De Orellana,"",-0.472255803999985,-76.983732365
19257,Leticia,Leticia,-4.20674440900001,-69.938423795
19258,Villazón,"",-22.090723396,-65.59569086
19259,Tupiza,"",-21.443770236,-65.720835311
19260,Villamontes,"",-21.258600549,-63.472604681
19261,Camiri,"",-20.039065403,-63.520349471
19262,Llallagua,"",-18.422739999,-66.585074517
19263,Sipe Sipe,"",-17.453538754,-66.357578015
19264,Vinto,"",-17.396789503,-66.313577209
19265,Quillacollo,"",-17.397397,-66.281681349
19266,Colcapirhua,"",-17.388446539,-66.240763028
19267,Tiquipaya,"",-17.33816376,-66.218884124
19268,La Guardia,"",-17.89168383,-63.330472805
19269,Yapacani,"",-17.40205898,-63.881351386
19270,Santa Cruz De La Sierra,Santa Cruz De La Sierra,-17.783598805,-63.182202956
19271,Warnes,"",-17.510081005,-63.164716032
19272,Montero,Montero,-17.342020243,-63.255768633
19273,Filadelfia,"",-22.352833745,-60.035758269
19274,Loma Plata,"",-22.384846604,-59.838213636
19275,Guasdualito,"Gdo, Guasdalito, Guasdualito",7.242411328,-70.732346309
19276,Corumba,"Cmg, Corumba, Corumbá",-19.009168424,-57.653329228
19277,Trinidad,Trinidad,-14.834604251,-64.904246396
19278,Santa Ana Del Yacuma,"",-13.745523532,-65.427324099
19279,Santana,"Porto, Porto De Santana, Pôrto",-0.0418648090000033,-51.177552937
19280,Itabira,"Itabira, Itabira De Mato Dentro, Itabira De Matto Dentro",-19.619167746,-43.226937062
19281,Itapipoca,"Imperatriz, Itapipoka, Итапипока",-3.49443803600002,-39.578609579
